DrugBank_ID,Drug_Name,Formula,Frequency,Mean_Energy,Best_Energy,Mean_Rank,Files_Found
DB00637,Astemizole,C28H31FN4O,4,-8.65,-8.8,66,"EM2, M1, M2, M5"
DB12364,Betrixaban,C23H22ClN5O3,4,-8.65,-9.2,66.75,"EM2, EM3, M3, M4"
DB11943,Delafloxacin,C18H12ClF3N4O4,4,-8.6,-8.6,66,"M1, M2, M3, M5"
DB12867,Benperidol,C22H24FN3O2,4,-8.55,-8.7,84,"EM1, EM3, M1, M2"
DB06077,Lumateperone,C24H28FN3O,4,-8.525,-9.1,64.75,"EM1, M2, M3, M4"
DB00459,Acitretin,C21H26O3,4,-8.5,-8.5,80,"M1, M2, M3, M5"
DB09038,Empagliflozin,C23H27ClO7,4,-8.5,-8.5,73,"M1, M2, M4, M5"
DB11263,Polydatin,C20H22O8,4,-8.4,-8.5,81,"M1, M2, M3, M5"
DB12877,Oxatomide,C27H30N4O,4,-8.4,-8.4,89.5,"EM2, M1, M2, M5"
DB00820,Tadalafil,C22H19N3O4,3,-10.2,-10.2,1.666666667,"M2, M3, M4"
DB00694,Daunorubicin,C27H29NO10,3,-9.3,-9.3,26.66666667,"EM1, EM2, EM3"
DB09319,Carindacillin,C26H26N2O6S,3,-9.3,-9.4,31.33333333,"EM1, EM2, EM3"
DB13345,Dihydroergocristine,C35H41N5O5,3,-9.3,-10,25.66666667,"EM1, M1, M3"
DB14583,Segesterone acetate,C23H30O4,3,-9.2,-9.2,37,"EM1, EM2, EM3"
DB08930,Dolutegravir,C20H19F2N3O5,3,-9.166666667,-9.2,38.66666667,"EM1, EM2, EM3"
DB01026,Ketoconazole,C26H28Cl2N4O4,3,-9,-9,54,"EM1, EM2, EM3"
DB08911,Trametinib,C26H23FIN5O4,3,-9,-9.4,61.33333333,"EM1, EM3, M5"
DB12332,Rucaparib,C19H18FN3O,3,-8.966666667,-9.1,56.66666667,"EM1, EM3, M1"
DB01501,Difenoxin,C28H28N2O2,3,-8.9,-8.9,66.33333333,"EM1, EM2, EM3"
DB02789,Pregnenolone,C21H32O2,3,-8.9,-8.9,66,"EM1, EM2, EM3"
DB12792,Boscalid,C18H12Cl2N2O,3,-8.9,-8.9,63.66666667,"EM1, EM2, EM3"
DB13136,Fluindione,C15H9FO2,3,-8.9,-8.9,64.33333333,"EM1, EM2, EM3"
DB11637,Delamanid,C25H25F3N4O6,3,-8.833333333,-8.9,40.33333333,"M2, M4, M5"
DB11859,Brexanolone,C21H34O2,3,-8.833333333,-8.9,76,"EM1, EM2, EM3"
DB00251,Terconazole,C26H31Cl2N5O3,3,-8.8,-8.8,80.33333333,"EM1, EM2, EM3"
DB00966,Telmisartan,C33H30N4O2,3,-8.766666667,-8.8,45.66666667,"M3, M4, M5"
DB04115,Berberine,C20H18NO4,3,-8.766666667,-8.9,67,"EM2, EM3, M3"
DB13246,Quinupramine,C21H24N2,3,-8.766666667,-8.8,81,"EM1, EM2, EM3"
DB01619,Phenindamine,C19H19N,3,-8.7,-8.7,51.66666667,"M1, M2, M5"
DB09073,Palbociclib,C24H29N7O2,3,-8.7,-9.2,75.66666667,"EM1, EM2, M4"
DB00321,Amitriptyline,C20H23N,3,-8.6,-8.6,71,"M1, M4, M5"
DB01012,Cinacalcet,C22H22F3N,3,-8.6,-8.6,60,"M1, M2, M3"
DB12371,Siponimod,C29H35F3N2O3,3,-8.6,-8.6,64,"M1, M3, M4"
DB08881,Vemurafenib,C23H18ClF2N3O3S,3,-8.566666667,-8.6,72.33333333,"M1, M4, M5"
DB00843,Donepezil,C24H29NO3,3,-8.533333333,-8.6,69,"M1, M2, M5"
DB01228,Encainide,C22H28N2O2,3,-8.5,-8.5,78.33333333,"M1, M2, M4"
DB00146,Calcifediol,C27H44O2,3,-8.466666667,-8.8,75,"M1, M2, M3"
DB01106,Levocabastine,C26H29FN2O2,3,-8.466666667,-8.7,71,"EM2, M1, M3"
DB04918,Ceftobiprole,C20H22N8O6S2,3,-8.466666667,-8.5,79,"M1, M2, M5"
DB06155,Rimonabant,C22H21Cl3N4O,3,-8.466666667,-8.5,84,"EM2, M3, M4"
DB11363,Alectinib,C30H34N4O2,3,-8.466666667,-9,54.33333333,"M1, M4, M5"
